year,region,group,channel,spend,packs,spendYoy,population,perResident,populationBasis,missingSpendCells,missingPackCells,months
2017,080,antifungals,convenzionata,3190496.940016564,190503.0,-0.029165307932973717,4439768,0.7186179413015644,"ISTAT intercensal reconstruction, January 1",58,58,12
2017,080,antifungals,direct,10952726.37,63557.0,0.05527273910005133,4439768,2.4669591676862392,"ISTAT intercensal reconstruction, January 1",5,5,12
2017,090,antibiotics,convenzionata,38654084.868900105,4859919.0,-0.02004374184896972,3721391,10.38699907343789,"ISTAT intercensal reconstruction, January 1",251,251,12
2017,090,antibiotics,direct,13577030.7,2324284.0,-0.05848534942475156,3721391,3.6483752177613153,"ISTAT intercensal reconstruction, January 1",34,34,12
2017,090,antifungals,convenzionata,2974606.91411677,171729.0,-0.05247590546950976,3721391,0.7993266265535576,"ISTAT intercensal reconstruction, January 1",56,56,12
2017,090,antifungals,direct,7804999.79,50252.0,-0.2013641713324489,3721391,2.0973339780743276,"ISTAT intercensal reconstruction, January 1",12,12,12
2017,100,antibiotics,convenzionata,10570720.2548837,1340276.0,-0.01911348414671316,880992,11.998656349755388,"ISTAT intercensal reconstruction, January 1",227,227,12
2017,100,antibiotics,direct,6622953.71,796983.0,0.13264120147097838,880992,7.5176093653517855,"ISTAT intercensal reconstruction, January 1",51,51,12
2017,100,antifungals,convenzionata,877334.054569771,49789.0,-0.05799114023167107,880992,0.9958479243509261,"ISTAT intercensal reconstruction, January 1",50,50,12
2017,100,antifungals,direct,4184498.43,13643.0,0.2267457726110805,880992,4.749757580091534,"ISTAT intercensal reconstruction, January 1",5,5,12
2017,110,antibiotics,convenzionata,20140666.81077559,2475525.0,-0.032469105169617644,1532460,13.142703111843435,"ISTAT intercensal reconstruction, January 1",241,241,12
2017,110,antibiotics,direct,7435029.53,981149.0,0.17114001785078076,1532460,4.8516956592668,"ISTAT intercensal reconstruction, January 1",47,47,12
2017,110,antifungals,convenzionata,1794738.90890661,105328.0,-0.06347135141467238,1532460,1.1711489428152186,"ISTAT intercensal reconstruction, January 1",54,54,12
2017,110,antifungals,direct,3754458.5,16861.0,0.06306512963087842,1532460,2.449955300627749,"ISTAT intercensal reconstruction, January 1",5,5,12
2017,120,antibiotics,convenzionata,77976357.72480938,9061852.0,-0.014427744527370095,5774092,13.504522914565507,"ISTAT intercensal reconstruction, January 1",238,238,12
2017,120,antibiotics,direct,19439132.88,2506157.0,0.07342442712702214,5774092,3.3666129462433227,"ISTAT intercensal reconstruction, January 1",49,49,12
2017,120,antifungals,convenzionata,6974338.754912801,351564.0,-0.004763826749282602,5774092,1.2078676188243624,"ISTAT intercensal reconstruction, January 1",49,49,12
2017,120,antifungals,direct,12819045.12,57195.0,-0.09982108285463018,5774092,2.220097137350773,"ISTAT intercensal reconstruction, January 1",5,5,12
2017,130,antibiotics,convenzionata,18470388.650374677,2252572.0,-0.028811051060664457,1313930,14.057361237185145,"ISTAT intercensal reconstruction, January 1",214,214,12
2017,130,antibiotics,direct,4757766.33,687444.0,-0.04405672368336646,1313930,3.621019635749241,"ISTAT intercensal reconstruction, January 1",53,53,12
2017,130,antifungals,convenzionata,1600831.087833079,90597.0,0.017962587849920865,1313930,1.2183534037833668,"ISTAT intercensal reconstruction, January 1",50,50,12
2017,130,antifungals,direct,2844515.59,13788.0,-0.11926095571518187,1313930,2.1648912727466456,"ISTAT intercensal reconstruction, January 1",6,6,12
2017,140,antibiotics,convenzionata,4064735.8547032704,513873.0,-0.03001348929580629,308400,13.180077349880902,"ISTAT intercensal reconstruction, January 1",150,150,12
2017,140,antibiotics,direct,743602.84,138314.0,-0.2111339844133571,308400,2.4111635538261997,"ISTAT intercensal reconstruction, January 1",103,103,12
2017,140,antifungals,convenzionata,297115.899627499,18947.0,-0.03879433399905961,308400,0.9634108288829409,"ISTAT intercensal reconstruction, January 1",33,33,12
2017,140,antifungals,direct,380446.16,1729.0,-0.34827871210282546,308400,1.23361271076524,"ISTAT intercensal reconstruction, January 1",10,10,12
2017,150,antibiotics,convenzionata,99063606.71655135,12344532.0,-0.0520083692047492,5776654,17.148959712067114,"ISTAT intercensal reconstruction, January 1",227,227,12
2017,150,antibiotics,direct,17303176.45,2109208.0,0.04411029920291821,5776654,2.9953631375533307,"ISTAT intercensal reconstruction, January 1",60,60,12
2017,150,antifungals,convenzionata,8026368.953233776,408018.0,-0.0353428805191283,5776654,1.389449489831618,"ISTAT intercensal reconstruction, January 1",55,55,12
2017,150,antifungals,direct,10930097.54,50266.0,-0.06060385461137718,5776654,1.892115667651204,"ISTAT intercensal reconstruction, January 1",5,5,12
2017,160,antibiotics,convenzionata,61287046.09012188,7360849.0,-0.08564701301608169,4024067,15.230125663941948,"ISTAT intercensal reconstruction, January 1",264,264,12
