aic,description,spend_eur,resolved,confidence,method,unresolved_category,units,content_per_unit_mg,total_content_mg,source_note
029247020,METACOLINA LOFARMA*10MG/ML 5FL,726.0,True,Authoritative,aifa_ingredient_authoritative,,,,30.0,METACOLINA CLORURO 30milligrammi
035733043,OXIBUTININA EG*30CPR 5MG,722.43,True,Validated,parsed:direct_strength,,30,5.0,150.0,30CPR 5MG
034934113,ZANTIPRES*28CPR RIV 30MG,722.02,True,Validated,parsed:direct_strength,,28,30.0,840.0,28CPR RIV 30MG
025935040,DELECIT*OS SOL 10FL 600MG 7ML,717.63,True,Validated,parsed:direct_strength,,10,600.0,6000.0,10FL 600MG
040928018,GEMCITABINA ACC*INF CONC FL200,717.51,False,Unresolved,unresolved,other,,,,
016094017,SUSTANON*IM 1F 1ML 250MG,714.5,True,Authoritative,aifa_ingredient_authoritative,,,,100.0,TESTOSTERONE DECANOATO 100milligrammi
016805107,SERENASE*OS GTT 15ML 10MG/ML,713.89,True,Candidate,parsed:implied_unit_vol_conc,,1,150.0,150.0,GTT 15ML 10MG/ML
035039306,KEPPRA*OS 150ML 100MG/ML+1ML,708.26,False,Unresolved,unresolved,multi_active_combo,,,,
025852068,SIRDALUD*20CPR 2MG,707.0,True,Authoritative,aifa_ingredient_authoritative,,,,2.0,TIZANIDINA CLORIDRATO 2milligrammi
042021030,"BUCCOLAM*OS SOLUZ 4SIR 7,5MG",705.28,True,Validated,parsed:direct_strength,,4,7.5,30.0,"4SIR 7,5MG"
038817084,VALACICLOVIR EG*21CPR 1000MG,704.37,True,Validated,parsed:direct_strength,,21,1000.0,21000.0,21CPR 1000MG
047805039,"IDACIO*SC 2PEN 0,8ML 40MG",704.0,True,Candidate,parsed:single_value_assumed_unit,,1,40.0,40.0,40MG
024352142,GAVISCON*24BUST 500+267MG/10ML,703.57,True,Authoritative,aifa_ingredient_authoritative,,,,500.0,SODIO ALGINATO 500milligrammi
044205110,TADALAFIL ACC*12CPR RIV 20MG,703.08,True,Validated,parsed:direct_strength,,12,20.0,240.0,12CPR RIV 20MG
044164046,"DOLSTIP*28CPR 5MG+2,5MG RP",702.55,True,Validated,parsed:direct_strength,,28,5.0,140.0,28CPR 5MG
033007042,TORVAST*30CPR RIV 20MG,701.8,True,Authoritative,aifa_ingredient_authoritative,,,,21.69,ATORVASTATINA CALCIO TRIIDRATO 21.69milligrammi
025980057,"XANAX*20CPR 0,25MG",701.18,True,Authoritative,aifa_ingredient_authoritative,,,,0.3,ALPRAZOLAM 0.3milligrammi
033995022,"ALPRAZOLAM SANDOZ*20CPR 0,5MG",701.17,True,Validated,parsed:direct_strength,,20,0.5,10.0,"20CPR 0,5MG"
041495060,PARACETAMOLO SALF*30FL 100ML,698.57,False,Unresolved,unresolved,other,,,,
027208103,SIVASTIN*28CPR RIV 20MG,694.59,True,Validated,parsed:direct_strength,,28,20.0,560.0,28CPR RIV 20MG
041047046,SILDENAFIL MY*8CPR RIV 25MG,691.6,True,Validated,parsed:direct_strength,,8,25.0,200.0,8CPR RIV 25MG
037206214,SIMVASTATINA SAND*28CPR 20MG,690.89,True,Validated,parsed:direct_strength,,28,20.0,560.0,28CPR 20MG
036364040,"FORBEST*BB NEBUL 30FL 0,5MG/ML",690.89,False,Unresolved,unresolved,other,,,,
028988032,"DOSTINEX*8CPR 0,5MG FL",689.92,True,Authoritative,aifa_ingredient_authoritative,,,,0.5,CABERGOLINA 0.5milligrammi
045870185,ELATREX*28CPR 10MG+5MG RP,687.99,True,Validated,parsed:direct_strength,,28,10.0,280.0,28CPR 10MG
045226040,REKOVELLE*SC 1PEN 12MCG+3AGHI,684.63,True,Validated,parsed:direct_strength,,1,0.012,0.012,1PEN 12MCG
020780021,SYNACTHEN*IM 1F 1MG 1ML RP,684.59,True,Authoritative,aifa_ingredient_authoritative,,,,1.0,TETRACOSACTIDE ESACETATO 1milligrammi
027621061,"PULMAXAN*NEBUL20FL2ML 0,5MG/ML",681.66,True,Validated,parsed:vol_conc,,20,1.0,20.0,"20FL2ML 0,5MG/ML"
048959023,LACOSAMIDE ZEN*56CPR RIV 50MG,678.7,True,Validated,parsed:direct_strength,,56,50.0,2800.0,56CPR RIV 50MG
029354178,VISIPAQUE*320MG I/ML FLPP 100M,677.6,True,Candidate,parsed:single_value_assumed_unit,,1,320.0,320.0,320MG
045789029,ELEBRATO ELL*30D 92+55+22MCG,676.26,True,Candidate,parsed:single_value_assumed_unit,,1,0.022,0.022,22MCG
034371106,SERETIDE*INAL 25MCG+50MCG 120D,673.18,True,Candidate,parsed:single_value_assumed_unit,,1,0.025,0.025,25MCG
037083019,COMBIGAN*COLL 5ML 2MG+5MG/ML,672.7,True,Candidate,parsed:single_value_assumed_unit,,1,2.0,2.0,2MG
043051034,"VIPIDIA*28CPR RIV 6,25MG",672.29,True,Validated,parsed:direct_strength,,28,6.25,175.0,"28CPR RIV 6,25MG"
038139061,PANTOPRAZOLO SAND*28CPR 20MG,670.11,True,Validated,parsed:direct_strength,,28,20.0,560.0,28CPR 20MG
026925040,PENTACOL 400*60CPR 400MG RM,669.6,True,Validated,parsed:direct_strength,,60,400.0,24000.0,60CPR 400MG
034368074,TIROSINT*OS 30FL 1ML 25MCG/ML,665.79,True,Validated,parsed:vol_conc,,30,0.025,0.75,30FL 1ML 25MCG/ML
027131010,PROLEUKIN*EV 1F 18MUI,663.68,False,Unresolved,unresolved,other,,,,
